Date,mars,earth,solar_wind
30-Jul-17,-1.92,0.7,0
15-Jul-17,-1.92,0.7,0
01-Jul-17,-1.92,0.7,0
30-Jun-17,-0.76,0.6,0
15-Jun-17,-0.76,0.6,0
01-Jun-17,-0.76,0.6,0
30-May-17,-0.21,0.8,0
15-May-17,-0.21,0.8,0
01-May-17,-0.21,0.8,0
30-Apr-17,-0.5,0.74,0
15-Apr-17,-0.5,0.74,0
01-Apr-17,-0.5,0.74,0
31-Mar-17,-4.07,0.85,0
15-Mar-17,-4.07,0.85,0
01-Mar-17,-4.07,0.85,0
28-Feb-17,-7.73,0.84,0
15-Feb-17,-7.73,0.84,0
01-Feb-17,-7.73,0.84,0
30-Jan-17,-6.62,0.795,0
15-Jan-17,-6.62,0.795,0
01-Jan-17,-6.62,0.795,0
31-Dec-17,3.2,0.8,3.2
15-Dec-17,3.2,0.8,3.2
01-Dec-17,3.2,0.8,3.2
30-Nov-17,7.13,0.7,7.13
15-Nov-17,7.13,0.7,7.13
01-Nov-17,7.13,0.7,7.13
31-Oct-17,7.16,0.5,7.16
15-Oct-17,7.16,0.5,7.16
01-Oct-17,7.16,0.5,7.16
30-Sep-17,4.24,0.8,4.24
15-Sep-17,4.24,0.8,4.24
01-Sep-17,4.24,0.8,4.24
30-Aug-17,0.096,1.0,0.096
15-Aug-17,0.096,1.0,0.096
01-Aug-17,0.096,1.0,0.096
30-Jul-17,-1.92,0.7,0
